gvkey,fyear,industry,tic,adjusted_roa,UG,top20_ug,MBA,top20_mba,PhD,top20_phd,MD,top20_md,Master's,top20_masters,pct_equity,delta_proxy,vega_proxy,log_tdc1,pct_cash_comp,firm_size,equity_capital,charter_value,retained_earnings,rd_intensity,volatility,ceo_age,CEO_gender,masters_factor,md_factor,mba_factor,phd_factor,ug_factor
61676,2021,Software,CTXS,-0.04752169979331545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354976693652188,0.0,0.9354976693652188,9.920753583036204,0.03685808149557711,8.850161725806476,0.07845396979177313,3.071834353246615,0.7308028924594406,0.08337733246152221,0.02132790728455163,62.0,0.0,-0.4640734528346924,-0.1989941162397805,-0.6279204739384207,-0.4029962759698278,0.3136310234450513
61562,2020,Semiconductors/Hardware,AEIS,-0.0004228547200327837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5059694818556365,1.6096368400533687,0.5059694818556365,8.664645314494667,0.1380646000812165,7.4071125923467545,0.49448187795797927,1.5168009476224151,0.43072669030420074,0.08737289565456993,0.04296089231971495,66.0,0.0,-0.4640734528346924,-0.1989941162397805,-0.6279204739384207,-0.4029962759698278,0.3136310234450513
61562,2021,Semiconductors/Hardware,AEIS,-0.0174651840287232,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7911460462771402,0.0,0.7911460462771402,8.78048318111403,0.13216528691888435,7.505129172520162,0.4791899149306129,1.3687591898284461,0.41550122706813253,0.0890482793533406,0.028752462510724112,59.0,0.0,-0.4755329544490174,-0.17733390111643768,-0.6042665717453427,-0.3997711596856314,0.7326001837308856
61562,2022,Semiconductors/Hardware,AEIS,0.010818204208669663,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6102145764603575,0.0,0.6102145764603575,8.920647078374365,0.11996329692284406,7.596978771937747,0.5352294585597199,1.1023126417038345,0.46762622429433665,0.09588548756932147,0.02738422281173314,60.0,0.0,-0.4755329544490174,-0.17733390111643768,-0.6042665717453427,-0.3997711596856314,0.7326001837308856
61562,2023,Semiconductors/Hardware,AEIS,-0.015662282025303287,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5875539590097147,0.0,0.5875539590097147,8.56134901454914,0.18139431726806957,7.846494937533161,0.44751300182223025,1.2676442015853986,0.3894953646357476,0.07917803686466879,0.021703280425218636,61.0,0.0,-0.4755329544490174,-0.17733390111643768,-0.6042665717453427,-0.3997711596856314,0.7326001837308856
61562,2024,Semiconductors/Hardware,AEIS,-0.05211641932111377,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7639650530286543,0.03775730113384435,0.7639650530286543,9.078175017325362,0.1084231030017139,7.723957794393254,0.5319307624495224,1.2876314167129879,0.448694766421415,0.09365337190867477,0.02170458904545586,62.0,0.0,-0.4755329544490174,-0.17733390111643768,-0.6042665717453427,-0.3997711596856314,0.7326001837308856
61676,2015,Software,CTXS,-0.0008640166662044826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9307756399578296,0.0,0.9307756399578297,9.89819929431435,0.021641946116401738,8.60912275427803,0.3600234099154273,1.774344492182815,0.6286850275420428,0.10288814723435712,0.019925684835215254,56.0,0.0,-0.4640734528346924,-0.1989941162397805,-0.6279204739384207,-0.4029962759698278,0.3136310234450513
61676,2017,Software,CTXS,-0.06668801826015297,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8248001685309975,0.0,0.8248001685309975,9.170817013030284,0.08955383499046811,8.669085780818076,0.17052078837478454,2.5449256018934907,0.6011292442015499,0.07144131036587209,0.01365697330656129,48.0,0.0,-0.47024218710790366,-0.18195324958243347,-0.5048237515515195,-0.47581435434036906,0.39279862525945874
61676,2018,Software,CTXS,0.023355268757736053,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125436861564195,0.0,0.8125436861564195,9.865687186212554,0.051926194392043705,8.54403938582273,0.10738195838863687,3.1953010133976156,0.8101295373155513,0.08566584937176416,0.011008424940782614,49.0,0.0,-0.47024218710790366,-0.18195324958243347,-0.5048237515515195,-0.47581435434036906,0.39279862525945874
61676,2019,Software,CTXS,0.060908016306983004,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7911467496990462,0.0,0.7911467496990462,9.582859058333717,0.06889967765974804,8.386839829213447,0.19085671528752135,2.846071081652167,1.0606280443097011,0.11822413957309827,0.009667695939815145,50.0,0.0,-0.47024218710790366,-0.18195324958243347,-0.5048237515515195,-0.47581435434036906,0.39279862525945874
