directorid,annualreportdate,boardid,salary,bonus,estvaloptaward,eqlinkremratio,wealthdelta
205405,2016-12-01,482471,,,,,
205405,2015-12-01,482471,,,,,
205405,2018-07-01,482471,,,,,
1252966,2016-12-01,561710,,,,,
1252966,2022-07-01,561710,,,,,
1252966,2020-12-01,561710,,,,,
1252966,2018-12-01,561710,,,,,
1252966,2019-12-01,561710,,,,,
1252966,2017-12-01,561710,,,,,
507661,2015-12-01,663972,,,,,
507661,2016-03-01,663972,,,,,
180412,2020-12-01,954950,,,,,
180412,2021-12-01,954950,,,,,
180412,2019-12-01,954950,,,,,
180412,2022-12-01,954950,,,,,
180412,2024-11-01,954950,,,,,
182411,2016-10-01,955593,,,,,
182411,2015-12-01,955593,,,,,
833256,2015-02-01,1005313,,,,,
833256,2016-01-01,1005313,,,,,
833256,2017-01-01,1005313,,,,,
833256,2018-01-01,1005313,,,,,
332806,2015-12-01,1066217,,,,,
332806,2016-07-01,1066217,,,,,
333755,2016-12-01,1383236,,,,,
333755,2015-12-01,1383236,,,,,
982110,2022-12-01,1475027,,,,,
1055310,2015-06-01,1642854,,,,,
1055310,2016-06-01,1642854,,,,,
1055310,2019-06-01,1642854,,,,,
1055310,2021-02-01,1642854,,,,,
1055310,2017-06-01,1642854,,,,,
1055310,2020-06-01,1642854,,,,,
1055310,2018-06-01,1642854,,,,,
205153,2025-03-01,1649258,,,,,
205153,2024-06-01,1649258,,,,,
508234,2015-06-01,1649258,,,,,
508234,2019-06-01,1649258,,,,,
508234,2022-06-01,1649258,,,,,
508234,2016-06-01,1649258,,,,,
508234,2025-03-01,1649258,,,,,
508234,2021-06-01,1649258,,,,,
508234,2023-06-01,1649258,,,,,
508234,2017-06-01,1649258,,,,,
508234,2018-06-01,1649258,,,,,
508234,2020-06-01,1649258,,,,,
508234,2024-06-01,1649258,,,,,
34345,2018-03-01,1649487,,,,,
48201,2023-12-01,1670028,,,,,
48201,2021-12-01,1670028,,,,,
48201,2015-12-01,1670028,,,,,
48201,2018-12-01,1670028,,,,,
48201,2019-12-01,1670028,,,,,
48201,2022-12-01,1670028,,,,,
48201,2024-12-01,1670028,,,,,
48201,2017-12-01,1670028,,,,,
48201,2016-12-01,1670028,,,,,
48201,2020-12-01,1670028,,,,,
1093467,2017-12-01,1674246,,,,,
1093467,2018-12-01,1674246,,,,,
1093467,2020-12-01,1674246,,,,,
1093467,2015-12-01,1674246,,,,,
1093467,2019-12-01,1674246,,,,,
1093467,2021-12-01,1674246,,,,,
1093467,2022-12-01,1674246,,,,,
1093467,2016-12-01,1674246,,,,,
1315152,2017-03-01,1731778,,,,,
1315152,2015-12-01,1731778,,,,,
843302,2015-12-01,1732906,,,,,
843302,2016-12-01,1732906,,,,,
1068227,2015-12-01,1732906,,,,,
1402205,2018-09-01,1823647,,,,,
1402205,2019-09-01,1823647,,,,,
1402205,2021-09-01,1823647,,,,,
1402205,2020-09-01,1823647,,,,,
1402205,2022-09-01,1823647,,,,,
182411,2015-01-01,1894867,,,,,
182411,2018-01-01,1894867,,,,,
182411,2016-01-01,1894867,,,,,
182411,2017-01-01,1894867,,,,,
104962,2018-12-01,1955677,,,,,
104962,2015-12-01,1955677,,,,,
104962,2019-12-01,1955677,,,,,
104962,2017-12-01,1955677,,,,,
104962,2020-12-01,1955677,,,,,
104962,2016-12-01,1955677,,,,,
513708,2020-12-01,1955677,,,,,
513708,2018-12-01,1955677,,,,,
513708,2022-08-01,1955677,,,,,
513708,2019-12-01,1955677,,,,,
513708,2021-12-01,1955677,,,,,
513708,2017-12-01,1955677,,,,,
1093467,2020-12-01,1955677,,,,,
1093467,2022-08-01,1955677,,,,,
1093467,2019-12-01,1955677,,,,,
1093467,2021-12-01,1955677,,,,,
34345,2015-12-01,1989910,,,,,
34345,2018-09-01,1989910,,,,,
34345,2016-12-01,1989910,,,,,
444827,2018-09-01,1989910,,,,,
377031,2016-12-01,2060108,,,,,
377031,2018-12-01,2060108,,,,,
377031,2015-12-01,2060108,,,,,
377031,2017-12-01,2060108,,,,,
843302,2018-12-01,2060108,,,,,
843302,2020-12-01,2060108,,,,,
843302,2022-12-01,2060108,,,,,
843302,2019-12-01,2060108,,,,,
843302,2021-12-01,2060108,,,,,
1047323,2018-06-01,2129696,1018,,3957,0.95,762
1047323,2020-06-01,2129696,964,,7919,0.94,1052
1047323,2019-06-01,2129696,1025,,4644,0.93,780
1047323,2022-06-01,2129696,1075,,5642,0.94,827
1047323,2021-06-01,2129696,1053,,7411,0.95,899
1047323,2015-06-01,2129696,0,,,,
1047323,2023-06-01,2129696,,,,,
1047323,2017-06-01,2129696,975,,3373,0.9,589
1047323,2019-06-01,2129696,1025,,4644,0.93,780
1047323,2020-06-01,2129696,964,,7919,0.94,1052
1047323,2022-06-01,2129696,1075,,5642,0.94,827
1047323,2018-06-01,2129696,1018,,3957,0.95,762
1047323,2016-06-01,2129696,0,,,,
1047323,2017-06-01,2129696,975,,3373,0.9,589
1047323,2021-06-01,2129696,1053,,7411,0.95,899
1047323,2023-06-01,2129696,,,,,
334096,2016-12-01,2166779,,,,,
334096,2018-12-01,2166779,,,,,
334096,2019-12-01,2166779,,,,,
334096,2017-12-01,2166779,,,,,
334096,2021-07-01,2166779,,,,,
334096,2015-12-01,2166779,,,,,
540927,2019-12-01,2199844,,,,,
540927,2020-12-01,2199844,,,,,
540927,2022-08-01,2199844,,,,,
272786,2022-12-01,2224949,,,,,
272786,2023-12-01,2224949,,,,,
272786,2024-12-01,2224949,,,,,
1093063,2019-12-01,2292952,,,,,
1093063,2021-12-01,2292952,,,,,
1093063,2022-12-01,2292952,,,,,
1093063,2024-12-01,2292952,,,,,
1093063,2018-12-01,2292952,,,,,
1093063,2023-12-01,2292952,,,,,
1093063,2020-12-01,2292952,,,,,
330139,2020-03-01,2295075,,,,,
330139,2018-03-01,2295075,7,,,,2
330139,2019-03-01,2295075,54,,,,0
272786,2018-12-01,2376180,,,,,
272786,2021-02-01,2376180,,,,,
272786,2017-12-01,2376180,,,,,
272786,2019-12-01,2376180,,,,,
895019,2023-12-01,2419952,,,,,
895019,2018-12-01,2419952,,,,,
895019,2019-12-01,2419952,,,,,
895019,2021-12-01,2419952,,,,,
895019,2022-12-01,2419952,,,,,
895019,2020-12-01,2419952,,,,,
895019,2024-12-01,2419952,,,,,
540927,2020-12-01,2454355,,,,,
540927,2018-12-01,2454355,,,,,
540927,2019-12-01,2454355,,,,,
182411,2023-12-01,2487378,,,,,
182411,2022-12-01,2487378,,,,,
182411,2019-12-01,2487378,,,,,
182411,2021-12-01,2487378,,,,,
182411,2018-12-01,2487378,,,,,
182411,2020-12-01,2487378,,,,,
182411,2017-12-01,2487378,,,,,
61502,2021-12-01,2493954,,,,,
61502,2024-12-01,2493954,,,,,
61502,2023-12-01,2493954,,,,,
61502,2022-12-01,2493954,,,,,
205153,2022-12-01,2524449,,,,,
205153,2016-12-01,2524449,,,,,
205153,2024-07-01,2524449,,,,,
205153,2017-12-01,2524449,,,,,
205153,2018-12-01,2524449,,,,,
46796,2020-07-01,2617910,,,,,
46796,2019-12-01,2617910,,,,,
540099,2025-08-01,2660935,,,,,
540099,2021-08-01,2660935,,,,,
540099,2022-08-01,2660935,,,,,
540099,2023-08-01,2660935,,,,,
540099,2024-08-01,2660935,,,,,
1068227,2020-08-01,2719470,,,,,
182411,2018-12-01,2722675,,,,,
182411,2017-12-01,2722675,,,,,
182411,2019-09-01,2722675,,,,,
443474,2018-09-01,2762605,,,,,
443474,2023-02-01,2762605,,,,,
443474,2021-09-01,2762605,,,,,
443474,2020-09-01,2762605,,,,,
443474,2019-09-01,2762605,,,,,
32603,2019-12-01,2808215,,,,,
32603,2019-02-01,2808215,,,,,
593280,2019-12-01,2918725,,,,,
593280,2020-12-01,2918725,,,,,
593280,2022-12-01,2918725,,,,,
593280,2024-12-01,2918725,,,,,
593280,2023-12-01,2918725,,,,,
593280,2018-12-01,2918725,,,,,
593280,2021-12-01,2918725,,,,,
1068880,2019-12-01,2918725,,,,,
1068880,2018-12-01,2918725,,,,,
444827,2023-05-01,2920393,,,,,
444827,2018-12-01,2920393,,,,,
444827,2020-12-01,2920393,,,,,
444827,2019-12-01,2920393,,,,,
444827,2021-12-01,2920393,,,,,
598932,2020-12-01,3003712,,,,,
598932,2022-12-01,3003712,,,,,
598932,2021-12-01,3003712,,,,,
275794,2019-12-01,3046623,,,,,
275794,2020-12-01,3046623,,,,,
275794,2021-12-01,3046623,,,,,
271741,2021-07-01,3046780,,,,,
271741,2020-01-01,3046780,,,,,
377031,2020-01-01,3046780,,,,,
377031,2021-07-01,3046780,,,,,
31551,2023-12-01,3129357,,,,,
31551,2022-12-01,3129357,,,,,
541897,2023-12-01,3307774,,,,,
33491,2023-12-01,3233660,,,,,
33491,2022-12-01,3233660,,,,,
46796,2023-12-01,3235375,,,,,
46796,2022-12-01,3235375,,,,,
48201,2020-12-01,3312119,,,,,
48201,2021-12-01,3312119,,,,,
48201,2023-12-01,3312119,,,,,
48201,2022-12-01,3312119,,,,,
48201,2024-12-01,3312119,,,,,
203273,2023-03-01,3363030,,,,,
203273,2021-12-01,3363030,,,,,
206108,2023-06-01,3364707,,,,,
206108,2021-12-01,3364707,,,,,
347211,2023-12-01,3391256,,,,,
347211,2025-10-01,3391256,,,,,
347211,2024-12-01,3391256,,,,,
1808923,2023-12-01,3411706,,,,,
375926,2017-01-01,69444,1550,,5717,0.9,31419
375926,2023-01-01,69444,1550,4,17324,0.95,48683
375926,2017-01-01,69444,1550,,5717,0.9,31419
375926,2018-01-01,69444,1550,,,0.67,43442
375926,2025-01-01,69444,1550,3,28249,0.98,46370
375926,2015-01-01,69444,1440,,61039,0.98,25861
375926,2019-01-01,69444,1550,,29517,0.98,55427
375926,2022-01-01,69444,1550,,19015,0.96,71024
1108033,2023-01-01,69444,,,,,
1108033,2021-01-01,69444,1000,2,20181,0.97,4422
1108033,2022-01-01,69444,1068,1,19331,0.97,4392
1108033,2023-01-01,69444,,,,,
1108033,2022-01-01,69444,1068,1,19331,0.97,4392
1108033,2019-01-01,69444,900,,16397,0.97,3311
1108033,2020-01-01,69444,900,87,9729,0.94,3854
1808923,2017-12-01,103852,,,,,
1808923,2016-12-01,103852,,,,,
1808923,2021-06-01,103852,,,,,
1808923,2015-12-01,103852,,,,,
1808923,2019-12-01,103852,,,,,
1808923,2018-12-01,103852,,,,,
1026,2022-12-01,440155,154,,16645,0.99,300
1026,2023-12-01,440155,1600,,,0.6,296
1026,2024-12-01,440155,1600,,,0.89,206
1026,2024-12-01,440155,1600,,,0.89,206
1026,2022-12-01,440155,154,,16645,0.99,300
1026,2023-12-01,440155,1600,,,0.6,296
499383,2015-04-01,465157,,,,,
1015485,2016-12-01,787113,,,,,
1015485,2017-12-01,787113,,,,,
1015485,2015-12-01,787113,,,,,
1015485,2018-12-01,787113,,,,,
2113430,2023-12-01,787113,,,,,
2113430,2021-12-01,787113,,,,,
2113430,2022-12-01,787113,,,,,
2113430,2019-12-01,787113,,,,,
2113430,2020-12-01,787113,,,,,
732483,2021-09-01,930452,,,,,
732483,2020-09-01,930452,,,,,
747756,2023-12-01,949452,,,,,
747756,2024-12-01,949452,,,,,
497854,2015-12-01,1281285,,,,,
497854,2016-12-01,1281285,,,,,
497854,2019-12-01,1281285,,,,,
497854,2017-12-01,1281285,,,,,
497854,2018-12-01,1281285,,,,,
333171,2018-12-01,1586322,,,,,
333171,2021-12-01,1586322,,,,,
333171,2016-12-01,1586322,,,,,
333171,2023-12-01,1586322,,,,,
333171,2017-12-01,1586322,,,,,
333171,2020-12-01,1586322,,,,,
333171,2022-12-01,1586322,,,,,
333171,2024-12-01,1586322,,,,,
333171,2015-12-01,1586322,,,,,
333171,2019-12-01,1586322,,,,,
544533,2019-12-01,1644741,,,,,
544533,2020-12-01,1644741,,,,,
732483,2021-12-01,1683470,,,,,
732483,2019-12-01,1683470,,,,,
732483,2020-12-01,1683470,,,,,
1376569,2016-12-01,1692432,,,,,
1376569,2021-12-01,1692432,,,,,
1376569,2023-12-01,1692432,,,,,
1376569,2017-12-01,1692432,,,,,
1376569,2015-12-01,1692432,,,,,
1376569,2019-12-01,1692432,,,,,
1376569,2020-12-01,1692432,,,,,
1376569,2022-12-01,1692432,,,,,
1376569,2024-12-01,1692432,,,,,
1376569,2018-12-01,1692432,,,,,
8391,2017-12-01,1706477,,,,,
8391,2019-02-01,1706477,,,,,
103257,2018-12-01,1830138,750,,,0.97,1387
103257,2017-12-01,1830138,526,,33792,0.99,896
103257,2019-12-01,1830138,900,,,0.96,1346
103257,2019-12-01,1830138,,,,,
103257,2019-12-01,1830138,900,,,0.96,1346
103257,2018-12-01,1830138,750,,,0.97,1387
103257,2020-12-01,1830138,,,,,
103257,2017-12-01,1830138,526,,33792,0.99,896
206474,2023-12-01,1830138,1325,,,0.96,4961
206474,2024-12-01,1830138,1350,,,0.97,8091
206474,2019-12-01,1830138,129,,28157,1,578
206474,2020-12-01,1830138,1000,,,0.97,1449
206474,2019-12-01,1830138,129,,28157,1,578
206474,2020-12-01,1830138,1000,,,0.97,1449
206474,2021-12-01,1830138,1000,,210303,1,4814
206474,2024-12-01,1830138,1350,,,0.97,8091
206474,2023-12-01,1830138,1325,,,0.96,4961
206474,2021-12-01,1830138,1000,,210303,1,4814
206474,2022-12-01,1830138,1167,,,0.95,2593
206474,2022-12-01,1830138,1167,,,0.95,2593
843302,2017-12-01,1830138,159,,,0.99,1117
843302,2016-12-01,1830138,0,,,,
843302,2018-12-01,1830138,,,,,
843302,2017-12-01,1830138,,,,,
843302,2015-12-01,1830138,0,,,,
1768029,2017-12-01,1953153,,,,,
1768029,2019-08-01,1953153,,,,,
1768029,2016-12-01,1953153,,,,,
1768029,2018-12-01,1953153,,,,,
104962,2015-12-01,1985116,,,,,
104962,2017-12-01,1985116,,,,,
104962,2016-12-01,1985116,,,,,
104962,2019-12-01,1985116,,,,,
104962,2018-12-01,1985116,,,,,
345845,2016-12-01,2006211,,,,,
345845,2022-12-01,2006211,,,,,
345845,2020-12-01,2006211,,,,,
345845,2024-12-01,2006211,,,,,
345845,2018-12-01,2006211,,,,,
345845,2021-12-01,2006211,,,,,
345845,2017-12-01,2006211,,,,,
345845,2023-12-01,2006211,,,,,
345845,2019-12-01,2006211,,,,,
345845,2015-12-01,2006211,,,,,
1015485,2018-12-01,2058040,,,,,
33049,2015-12-01,2059247,,,,,
33049,2016-10-01,2059247,,,,,
347211,2017-12-01,2066810,,,,,
347211,2016-12-01,2066810,,,,,
347211,2019-10-01,2066810,,,,,
347211,2015-12-01,2066810,,,,,
347211,2018-12-01,2066810,,,,,
330139,2019-12-01,2141505,,,,,
330139,2018-12-01,2141505,,,,,
764621,2020-06-01,2154420,,,,,
764621,2022-07-01,2154420,,,,,
764621,2019-06-01,2154420,,,,,
764621,2021-06-01,2154420,,,,,
982110,2018-12-01,2164651,,,,,
982110,2015-12-01,2164651,,,,,
982110,2017-12-01,2164651,,,,,
982110,2016-12-01,2164651,,,,,
1109557,2015-12-01,2164733,,,,,
1109557,2016-12-01,2164733,,,,,
1480344,2020-12-01,2164733,,,,,
1480344,2016-12-01,2164733,,,,,
1480344,2019-12-01,2164733,,,,,
1480344,2021-12-01,2164733,,,,,
1480344,2018-12-01,2164733,,,,,
1480344,2022-12-01,2164733,,,,,
1480344,2017-12-01,2164733,,,,,
1960636,2023-09-01,2164733,,,,,
1960636,2022-12-01,2164733,,,,,
205153,2022-03-01,2176902,,,,,
205153,2023-03-01,2176902,,,,,
205153,2021-03-01,2176902,,,,,
205153,2023-11-01,2176902,,,,,
1123639,2024-12-01,2231001,277,,,0.92,35
1123639,2024-12-01,2231001,277,,,0.92,35
1449249,2020-12-01,2231001,477,,5490,0.96,447
1449249,2024-12-01,2231001,,,,,
1449249,2023-12-01,2231001,817,,,0.71,123
1449249,2022-12-01,2231001,851,,,0.88,337
1449249,2021-12-01,2231001,889,,1204,0.87,374
1449249,2024-12-01,2231001,,,,,
1449249,2021-12-01,2231001,889,,1204,0.87,374
1449249,2020-12-01,2231001,477,,5490,0.96,447
1449249,2023-12-01,2231001,817,,,0.71,123
1449249,2024-12-01,2231001,,,,,
1449249,2019-12-01,2231001,146,,2191,0.96,143
1449249,2022-12-01,2231001,851,,,0.88,337
271741,2024-12-01,2232357,18,,,0.96,4
1760716,2020-12-01,2243091,,,,,
1760716,2022-12-01,2243091,,,,,
1760716,2023-12-01,2243091,,,,,
1760716,2019-12-01,2243091,,,,,
1760716,2021-12-01,2243091,,,,,
1760716,2018-12-01,2243091,,,,,
1760716,2024-12-01,2243091,,,,,
182411,2017-12-01,2311588,,,,,
182411,2018-12-01,2311588,,,,,
86007,2018-12-01,2336569,,,,,
86007,2019-12-01,2336569,,,,,
182411,2016-12-01,2342613,,,,,
182411,2017-12-01,2342613,,,,,
182411,2018-12-01,2342613,,,,,
182411,2020-12-01,2342613,,,,,
182411,2024-11-01,2342613,,,,,
182411,2019-12-01,2342613,,,,,
347211,2015-12-01,2344697,,,,,
347211,2016-12-01,2344697,,,,,
34345,2018-10-01,2358912,588,,,0.3,136
34345,2018-10-01,2358912,,,,,
34345,2019-10-01,2358912,,,,,
34345,2016-10-01,2358912,1500,,12259,0.98,2657
34345,2017-10-01,2358912,1500,,,0.95,2221
34345,2017-10-01,2358912,1500,,,0.95,2221
34345,2018-10-01,2358912,588,,,0.3,136
34345,2016-10-01,2358912,1500,,12259,0.98,2657
52347,2025-10-01,2358912,29,,,0.87,2
182411,2016-10-01,2358912,100,,,0.7,5
182411,2017-10-01,2358912,0,,,1,6
182411,2018-10-01,2358912,0,,,1,8
182411,2019-10-01,2358912,0,,,1,14
182411,2020-10-01,2358912,0,,,1,10
182411,2021-10-01,2358912,,,,,
1192124,2019-10-01,2358912,1100,,,0.93,473
1192124,2021-10-01,2358912,1225,,,0.94,529
1192124,2024-10-01,2358912,1300,,,0.94,743
1192124,2025-10-01,2358912,1350,,,0.94,1027
1192124,2018-10-01,2358912,950,,,0.93,501
1192124,2020-10-01,2358912,1077,,,0.87,299
1192124,2023-10-01,2358912,1300,,,0.93,604
1192124,2022-10-01,2358912,1275,,,0.92,528
1192124,2017-10-01,2358912,753,,,0.93,463
1192124,2024-10-01,2358912,1300,,,0.94,743
1192124,2020-10-01,2358912,1077,,,0.87,299
1192124,2023-10-01,2358912,1300,,,0.93,604
1192124,2019-10-01,2358912,1100,,,0.93,473
1192124,2016-10-01,2358912,725,,4243,0.97,469
1192124,2021-10-01,2358912,1225,,,0.94,529
1192124,2018-10-01,2358912,950,,,0.93,501
1192124,2025-10-01,2358912,1350,,,0.94,1027
1192124,2022-10-01,2358912,1275,,,0.92,528
732483,2021-02-01,2384199,,,,,
732483,2017-02-01,2384199,,,,,
732483,2022-02-01,2384199,,,,,
732483,2023-02-01,2384199,,,,,
732483,2024-02-01,2384199,,,,,
732483,2018-02-01,2384199,,,,,
732483,2020-02-01,2384199,,,,,
732483,2016-02-01,2384199,,,,,
732483,2019-02-01,2384199,,,,,
540927,2021-12-01,2425335,,,,,
540927,2022-12-01,2425335,,,,,
540927,2023-12-01,2425335,,,,,
540927,2020-12-01,2425335,,,,,
1123231,2017-02-01,2607844,,,,,
1123231,2018-03-01,2607844,,,,,
1618087,2019-12-01,2645381,,,,,
1618087,2021-12-01,2645381,,,,,
1618087,2020-12-01,2645381,,,,,
1618087,2022-12-01,2645381,,,,,
1618087,2018-12-01,2645381,,,,,
320726,2018-12-01,2680801,,,,,
320726,2017-12-01,2680801,,,,,
1123231,2024-11-01,2682816,,,,,
2347499,2021-12-01,2714699,,,,,
2347499,2020-12-01,2714699,,,,,
2347499,2023-12-01,2714699,,,,,
2347499,2025-05-01,2714699,,,,,
2347499,2022-12-01,2714699,,,,,
182411,2024-12-01,2784622,,,,,
182411,2024-12-01,2784622,,,,,
183266,2024-12-01,2828277,,,,,
206474,2020-12-01,2897876,,,,,
206474,2021-12-01,2897876,,,,,
206474,2024-03-01,2897876,,,,,
206474,2022-12-01,2897876,,,,,
764621,2024-12-01,3066258,,,,,
598932,2024-12-01,3066882,,,,,
598932,2023-12-01,3066882,,,,,
598932,2021-12-01,3066882,,,,,
598932,2022-12-01,3066882,,,,,
183266,2024-12-01,3187074,,,,,
541897,2025-08-01,3239382,,,,,
541897,2020-12-01,3239382,,,,,
541897,2022-12-01,3239382,,,,,
541897,2024-12-01,3239382,,,,,
541897,2021-12-01,3239382,,,,,
541897,2023-12-01,3239382,,,,,
541897,2023-12-01,3242125,,,,,
541897,2021-12-01,3242125,,,,,
541897,2020-12-01,3242125,,,,,
541897,2022-12-01,3242125,,,,,
541897,2024-12-01,3242125,,,,,
47456,2020-12-01,3279294,,,,,
47456,2021-12-01,3279294,,,,,
327474,2022-03-01,3291073,,,,,
327474,2023-03-01,3291073,,,,,
327474,2025-03-01,3291073,,,,,
327474,2024-03-01,3291073,,,,,
1754265,2024-03-01,3291073,,,,,
1754265,2025-03-01,3291073,,,,,
1754265,2023-03-01,3291073,,,,,
180412,2023-12-01,3306369,,,,,
180412,2023-01-01,3306369,,,,,
180412,2022-01-01,3306369,,,,,
180412,2022-01-01,3306369,,,,,
180412,2020-12-01,3306369,,,,,
180412,2023-01-01,3306369,,,,,
180412,2023-12-01,3306369,,,,,
180412,2024-12-01,3306369,,,,,
540927,2023-08-01,3337363,,,,,
1275602,2021-12-01,3382543,0,,,,
1275602,2022-12-01,3382543,0,,,,
1275602,2024-12-01,3382543,400,,,0.98,9353
1275602,2023-12-01,3382543,400,,,1,3072
1275602,2023-12-01,3382543,400,,,1,3072
1275602,2024-12-01,3382543,400,,,0.98,9353
1808923,2024-12-01,3411706,,,,,
1808923,2021-12-01,3411706,,,,,
1808923,2022-12-01,3411706,,,,,
271741,2021-12-01,3414461,,,,,
49801,2022-12-01,3478054,,,,,
1075579,2023-12-01,3551499,,,,,
1908442,2023-12-01,3551499,,,,,
1396615,2023-06-01,3618674,,,,,
1396615,2024-06-01,3618674,,,,,
1252966,2024-03-01,3764008,,,,,
206108,2023-12-01,3766335,,,,,
747756,2024-12-01,3783925,,,,,
61667,2025-06-01,3984869,,,,,
84112,2022-12-01,616,,,,1,33
84112,2023-12-01,616,,,,1,37
84112,2024-12-01,616,,,,1,50
84112,2020-12-01,616,,,,1,20
84112,2021-12-01,616,2,,,0.99,25
536199,2024-12-01,2621,,,,,
69696,2019-12-01,7204,0,,,1,67
102722,2019-11-01,817439,1100,,,0.52,8620
102722,2025-11-01,817439,1200,,,0.99,39711
102722,2016-10-01,817439,1012,,,0.94,4448
102722,2022-10-01,817439,1200,,,0.99,2792
102722,2023-10-01,817439,1200,,,1,8322
102722,2018-11-01,817439,1121,,,0.77,6040
102722,2024-11-01,817439,1226,,,,18096
102722,2022-10-01,817439,1200,,,0.99,2792
102722,2025-11-01,817439,1200,,,0.99,39711
102722,2016-10-01,817439,1012,,,0.94,4448
102722,2023-10-01,817439,1200,,,1,8322
102722,2021-10-01,817439,1200,,,0.99,2478
102722,2015-11-01,817439,910,,,0.77,3716
102722,2019-11-01,817439,1100,,,0.52,8620
102722,2015-11-01,817439,910,,,0.77,3716
102722,2020-11-01,817439,1171,,,0.68,3973
102722,2017-10-01,817439,1100,,,0.99,9018
205183,2019-11-01,817439,111,,,0.67,5
205183,2025-11-01,817439,159,,,0.79,123
205183,2021-10-01,817439,115,,,0.69,17
205183,2018-11-01,817439,80,,,0.74,2
205183,2020-11-01,817439,115,,,0.74,10
205183,2024-11-01,817439,143,,,0.69,59
205183,2023-10-01,817439,126,,,0.73,28
205183,2022-10-01,817439,115,,,0.63,15
1318835,2015-05-01,864509,,,,,
1318835,2016-05-01,864509,,,,,
1318835,2021-05-01,864509,,,,,
1318835,2020-05-01,864509,,,,,
1318835,2017-05-01,864509,,,,,
1318835,2018-05-01,864509,,,,,
1318835,2019-05-01,864509,,,,,
200418,2023-12-01,935898,,,,,
200418,2021-12-01,935898,,,,,
200418,2022-12-01,935898,,,,,
200418,2024-12-01,935898,,,,,
180412,2015-12-01,956484,,,,,
180412,2018-07-01,956484,,,,,
180412,2016-12-01,956484,,,,,
598932,2015-06-01,956561,,,,,
598932,2016-03-01,956561,,,,,
544533,2016-12-01,1017709,,,,,
544533,2015-12-01,1017709,,,,,
544533,2017-12-01,1017709,,,,,
544533,2018-12-01,1017709,,,,,
52347,2019-12-01,1025581,,,,,
52347,2018-12-01,1025581,,,,,
52347,2020-08-01,1025581,,,,,
52347,2017-12-01,1025581,,,,,
205153,2018-12-01,1025581,,,,,
205153,2020-08-01,1025581,,,,,
205153,2019-12-01,1025581,,,,,
205153,2017-12-01,1025581,,,,,
203273,2019-12-01,1633075,111,,,0.63,10
203273,2022-12-01,1633075,113,,,0.54,8
203273,2023-12-01,1633075,,,,,
203273,2020-12-01,1633075,101,,,0.68,9
203273,2016-12-01,1633075,0,,,,
203273,2017-12-01,1633075,73,,,0.72,4
203273,2021-12-01,1633075,111,,,0.59,11
203273,2018-12-01,1633075,94,,,0.58,5
203273,2015-12-01,1633075,0,,,,
1754265,2021-12-01,1633075,474,525,,0.61,92
1706999,2017-12-01,1637939,,,,,
1706999,2018-12-01,1637939,,,,,
1706999,2015-12-01,1637939,,,,,
1706999,2016-12-01,1637939,,,,,
1302499,2017-06-01,1729162,,,,,
1302499,2021-06-01,1729162,,,,,
1302499,2018-06-01,1729162,,,,,
1302499,2019-06-01,1729162,,,,,
1302499,2020-06-01,1729162,,,,,
1302499,2022-06-01,1729162,,,,,
495149,2019-12-01,1743287,,,,,
495149,2016-12-01,1743287,,,,,
495149,2022-05-01,1743287,,,,,
495149,2016-12-01,1743287,,,,,
495149,2021-12-01,1743287,,,,,
495149,2018-12-01,1743287,,,,,
495149,2020-12-01,1743287,,,,,
495149,2015-12-01,1743287,,,,,
495149,2017-12-01,1743287,,,,,
1396615,2021-04-01,1809422,,,,,
1396615,2020-09-01,1809422,,,,,
1396615,2017-09-01,1809422,,,,,
1396615,2018-09-01,1809422,,,,,
1396615,2019-09-01,1809422,,,,,
843302,2015-10-01,1827789,,,,,
497854,2015-12-01,1888229,,,,,
497854,2016-12-01,1888229,,,,,
497854,2018-12-01,1888229,,,,,
497854,2017-12-01,1888229,,,,,
377031,2016-01-01,1895620,0,,,,
377031,2017-01-01,1895620,0,,,1,16
377031,2025-01-01,1895620,0,,,1,78
377031,2018-01-01,1895620,0,,,1,28
377031,2023-01-01,1895620,0,,,1,44
377031,2024-01-01,1895620,0,,,1,81
377031,2019-01-01,1895620,0,,,1,5
377031,2020-01-01,1895620,0,,,1,343
377031,2021-01-01,1895620,0,,,1,85
377031,2022-01-01,1895620,0,,,1,61
377031,2015-01-01,1895620,0,,,,
1109557,2018-12-01,1904829,,,,,
1109557,2017-12-01,1904829,,,,,
275794,2019-06-01,1919261,,,,,
833256,2015-02-01,1961459,,,,,
833256,2016-01-01,1961459,,,,,
833256,2017-01-01,1961459,,,,,
833256,2018-01-01,1961459,,,,,
2347499,2024-12-01,1967527,,,,,
2347499,2023-12-01,1967527,,,,,
1108033,2016-12-01,2006706,46,,,0.8,2
1108033,2021-12-01,2006706,10,,,0.96,25
1108033,2019-12-01,2006706,0,,,1,14
1108033,2022-10-01,2006706,,,,,
1108033,2017-12-01,2006706,0,,,1,7
1108033,2018-12-01,2006706,0,,,1,11
1108033,2020-12-01,2006706,0,,,1,29
1488593,2016-12-01,2028975,,,,,
1488593,2017-11-01,2028975,,,,,
1488593,2015-12-01,2028975,,,,,
1093830,2015-12-01,2053236,,,,,
843302,2020-09-01,2120721,,,,,
1779146,2023-06-01,2129696,925,,1503,0.73,76
1779146,2023-06-01,2129696,925,,1503,0.73,76
1779146,2019-06-01,2129696,450,,353,0.73,55
